name,level,sex,ctime,rcount,like,content
宇智波鄢大少,6,男,1548666173,1,52,你们有没有发觉一个问题，bilibili去采访谁谁就会失踪。想想就后怕Σ(ﾟдﾟ;)
椿椿椿椿樺,5,保密,1548508803,7,55,这次是我成为5级大佬的第一次评论快给我点赞
Tach-noIogy,6,保密,1548596405,0,29,其实1818黄金眼是我看过的最神奇的一个新闻节目！当年bilibili有人转载！里面可谓反派智商高达神仙.......记者有些时候打电话都是笑着说话的！（￣▽￣）
DSRZ,6,保密,1548576938,3,34,"⣿⣿⣿⣿⣿⣿⢟⣡⣴⣶⣶⣦⣌⡛⠟⣋⣩⣬⣭⣭⡛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⠋⢰⣿⣿⠿⣛⣛⣙⣛⠻⢆⢻⣿⠿⠿⠿⣿⡄⠻⣿⣿⣿ 
⣿⣿⣿⠃⢠⣿⣿⣶⣿⣿⡿⠿⢟⣛⣒⠐⠲⣶⡶⠿⠶⠶⠦⠄⠙⢿ 
⣿⠋⣠⠄⣿⣿⣿⠟⡛⢅⣠⡵⡐⠲⣶⣶⣥⡠⣤⣵⠆⠄⠰⣦⣤⡀ 
⠇⣰⣿⣼⣿⣿⣧⣤⡸⢿⣿⡀⠂⠁⣸⣿⣿⣿⣿⣇⠄⠈⢀⣿⣿⠿ 
⣰⣿⣿⣿⣿⣿⣿⣿⣷⣤⣈⣙⠶⢾⠭⢉⣁⣴⢯⣭⣵⣶⠾⠓⢀⣴
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣉⣤⣴⣾⣿⣿⣦⣄⣤⣤⣄⠄⢿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⠿⠿⠿⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣇⠈⢿
⣿⣿⣿⣿⣿⣿⡟⣰⣞⣛⡒⢒⠤⠦⢬⣉⣉⣉⣉⣉⣉⣉⡥⠴⠂⢸
⠻⣿⣿⣿⣿⣏⠻⢌⣉⣉⣩⣉⡛⣛⠒⠶⠶⠶⠶⠶⠶⠶⠶⠂⣸⣿
⣥⣈⠙⡻⠿⠿⣷⣿⣿⣿⣿⣿⣿⣿⣿⣿⣾⣿⠿⠛⢉⣠⣶⣶⣿⣿
⣿⣿⣿⣶⣬⣅⣒⣒⡂⠈⠭⠭⠭⠭⠭⢉⣁⣄⡀⢾⣿⣿⣿⣿⣿⣿"
吴家日天,5,保密,1548576791,0,7,某天，黄金眼找上了b站总公司。。。。。。公司的某员工正在整理行李说还有啥说的，彻底完犊子了呗！(〜￣△￣)〜
棉花qoq,6,男,1548572955,0,35,遇事不决，量子力学
丨Xenon,5,保密,1548570715,1,30,薛定谔的校长听说过没？在你没到的时候校长在和不在是一种混合状态，这不就现场展示了量子纠缠了么！
風牛倜傥,6,男,1548568064,0,42,量子纠缠  意思是  电子围绕原子核做无规则运动   用专业术语回答就是 当几个粒子在彼此相互作用后，由于各个粒子所拥有的特性已综合成为整体性质，无法单独描述各个粒子的性质，只能描述整体系统的性质，则称这现象为量子缠结或量子纠缠（quantum entanglement）
handsome爻,5,保密,1548502909,1,7,1818可以在其他市开分店嘛 全国都需要你们
Tach-noIogy,6,保密,1548596405,0,29,其实1818黄金眼是我看过的最神奇的一个新闻节目！当年bilibili有人转载！里面可谓反派智商高达神仙.......记者有些时候打电话都是笑着说话的！（￣▽￣）
阿狸丶A,5,保密,1549243556,0,6,孙行者是我哥哥，我叫者行孙
qouno,6,女,1548858778,0,6,我要笑死了 这个可不可以点追番啊 hhhhhh
神奇の海螺大大,6,保密,1548744010,0,20,传统媒体节目教科书式转型(｀・ω・´)
刻师傅的老公,6,男,1548670945,0,6,看到量子力学和波粒二象性就点进来了
浊酒迷人眼,2,保密,1548603738,0,6,黄金眼为您搜罗各种奇人
秦城二院李先生,5,保密,1548597501,0,6,波粒二象性？爱因斯坦-波尔粒子？这女的可以啊肯定看过有关部门的神秘影像   《超威蓝猫》！
量子小辐Bongo,6,男,1548592630,1,16,"在专利网上输入量子俩字，就有一大堆伪科学产品。。。
遇事不决，量子力学。"
霍森布魯茨老爺,5,保密,1548589110,0,23,1818本来就不正经，跟破B站同流合污就更不正经了(´･_･`)
原来是小饼干呀,5,女,1548579559,0,18,一直以为是浙江人首页才会有1818黄金眼的推荐，直到b站和1818联合推出节目，看来真的是火出地方了
窗户下的小黄人,5,保密,1548579391,0,24,"我没有走人
我没有走
没有走
没走
走"
不剩饭的貔貅,6,保密,1548572644,0,6,波粒二象性哈哈哈哈高中物理学的挺好啊？
俺来了老妹er,5,保密,1548568669,1,17,我工作也是负责对外这一块，在1818黄金眼学习到很多种战术撤退方式
IFaaab,5,男,1548526149,3,6,我总觉得2019年的百大up会看到1818黄金眼的身影😂
BORNTODiiie,6,女,1548509745,0,17,上次不是聊得满愉快的嘛 我真的忘不了这句话哈哈哈哈哈哈哈哈
xzx20070732,6,男,1548505756,0,6,战术撤退最典型例子应该有敏宝宝啊
灰灰飞丶,5,保密,1548595511,0,20,"我卢本伟没有开挂
我卢本伟没开挂
我本伟没开挂
我本没开挂
我本开挂
我开挂
开挂
挂"
乄丶咕咕丷,5,保密,1596531761,0,5,人工读评论真是最尬的环节尬的我都看不下去了
SIA晴空,6,保密,1552139338,0,10,"18＝开花 1818＝两开花   
也就是说 黄金眼＝合拍 七 龙 珠（暴论）"
柠萌酸萌丶,6,保密,1548740007,0,11,突然脑洞，古他那黑暗之神，量子波动夸克-消散失踪术[星梦手记_卖萌]
砂糖Rosor,6,保密,1548581316,0,5,这么小孩子就开始学量子纠缠？完了，我们这种大学生落后太多了啊
DOAeer,5,保密,1548567552,0,5,双叶说得好：遇事不决，量子力学
聪明的F,6,女,1548512384,0,5,光的波粒二象性[小电视_赞]
普冷姆plum,6,男,1548501499,0,13,"求1818黄金眼做一个收藏夹，收藏bilibili@黄金眼 系列的视频，这样以后视频多了大家也找起来方便很多嘛(=・ω・=)
ps:如果有小吴连续剧也可以做成一个收藏夹"
罗宾樱,6,保密,1548917618,0,9,除了灵魂拷问还有蜜汁对焦
嘉然小姐的仓鼠,6,女,1548571893,0,6,光的波粒二象性和量子纠缠完全可以把百科那些背下来唬人嘛，背都不背，说明骗钱都不做好专业的准备
鲤枝繁叶茂,5,女,1549183071,0,8,"李经理:我没有跑路
没有跑路
没有跑
跑！"
柳道知,5,男,1605603327,0,4,1818黄金眼不是和西瓜签约了嘛？怎么被甩了又来 b站找安慰？[tv_调侃]
不麻麻辣烫,6,保密,1554735280,0,7,"《bilibili@黄金眼》大型连续剧
第一期：av40964489《灵魂拷问》
第二期：av41675896《战术撤退》
第三期：av42378662《神奇的逻辑》
第四期：av42539263《年度测试卷》
第五期：av43617154《无中生“友”》
第六期：av44371917《要不得的“任性”》
第七期：av45022959《意外的“惊喜”》
第八期：av45683626《较真》
第九期：av46344731《“托尼老师”》
第十期：av47027662《“变魔术”》
第十一期：av47738672《真相只有一个》
第十二期：av48381283《“硬核”--汽车篇》"
春夏秋冬っ,6,男,1553095479,0,4,我们这边的电视台做过类似打假的节目，有三个初中生，一个说是会腹语术，闭着嘴能说话，第二个大脑空间想象能力超群，说一个汉字能立刻报出笔画来，第三个也是蒙眼辨色。后来一打假，第一个孩子说话的时候其实嘴是微微张开的，只是张得小看上去像是闭着嘴；第二个打假专家给他展示了一大堆错别字，他报笔画的能力立刻就歇菜了，原来是根据某个记忆法把汉字拆成各个部分，然后笔画想加，后来算加法算得多了也就熟练了；第三个其实是蒙眼的布漏光，孩子根本就能看见颜色。
jonimax,6,男,1551341061,0,4,权健：我们是一家非常正义的企业，不信你看我一身的正字~~~~
qbink,5,保密,1548858143,0,4,B站最强综艺，二月霸权，还有比这个强的吗？
麻先生-空,5,男,1548780137,0,4,我最喜欢黄金眼了，每一次都能让我乐开花
卫存墨,5,保密,1548730803,0,4,我竟然在B站看新闻( ´_ゝ｀)还觉得挺好看得
渔船上的喵骑士,6,男,1548637093,0,7,遇事不决，量子力学
小御坂的哥哥,5,保密,1548583853,0,7,骗子疯狂起来连自己都骗
Jam-Q,5,保密,1548575010,0,4,事实证明不会开锁的量子纠缠中介不适合做火疗师
宇星黑罗,6,保密,1548575050,0,8,这里的人有钱，哈哈哈哈，我们才不舍得跑路呢[2233娘_大笑][2233娘_大笑]
Echo洛洛咯,6,保密,1548571873,0,4,1818已经住进逼站了Σ(ﾟдﾟ;)
佥光,6,保密,1548570798,0,4,来，先来这边交一交智商税，然后就可以让孩子用量子的方法学习了
白夜不黑天丶,6,男,1548568146,0,7,遇事不决，量子力学。[蛆音娘_滑稽]
米尺一米六,6,女,1548567532,0,4,hhhhh什么鬼才节目啊
愁几菌,6,保密,1548567526,0,4,第一次看新闻津津有味
呵呵复呵唧,5,男,1548568136,0,4,薛定谔的校长
盐焗沼跃鱼,5,保密,1548566732,0,4,黄金眼，我的快乐源泉。这居然做成了合集！！
茉莉鹿鹿,5,保密,1548516245,0,4,明明都是看过的新闻 官方剪辑后还是笑出猪叫
啊雷电战机,5,男,1548506962,0,4,感觉bilibili和1818合作之后，小八更加有灵魂了！哈哈
西尔瑞思,6,保密,1548505143,0,4,老板娘秒变脸：不用！⊙ω⊙
国报中精,5,男,1548504294,0,4,你们想笑死我继承我的账号吗？
七块五的熏肉大饼,6,男,1548503622,2,4,就我在等那个牛老师吗
东隅月人,5,男,1572344149,1,3,孝鼠，竟然说清者自清，你已经被锁定噜，吸吸
泷丨是极好的,6,女,1557792157,0,3,正常公司会有这种承诺吗hhhhhhh不跑路hhhhhh感情你开公司就是为了跑路吧∠( ᐛ 」∠)＿
爱她就偷她电瓶,3,男,1550363740,2,3,这个世界太疯狂，耗子都给猫当伴娘……(=・ω・=)
叶山秋人的例假,5,男,1549212236,0,3,“喂！死跑龙套的！” “我在说一遍，我是个演员。”
一筐阿汪,6,女,1549035649,0,3,做美龙！做美龙！yeah！！(°∀°)ﾉ
盛零零,6,男,1549022628,2,3,这个番怎么怎么没得追番按钮(･∀･)
Maxxie_,5,男,1548828423,6,3,看这个的人都是浙江人嘛？哈哈哈，我从小看到大，没想到居然火了。
橘子葫芦怪,5,保密,1548778926,5,3,"@箜的水 
是黄金眼唉。精...精彩    量...量子纠缠(ಡωಡ)"
飞虎233-放置游戏,6,保密,1548663536,0,3,以后别扯量子了，说波纹多好
ネロ・Claudius,5,保密,1548603079,0,3,遇事不决，量子力学[2233娘_耶]
牧羊人的指环,6,保密,1548589357,0,3,"下次还用权健吗？
不用！"
凖人＿,5,男,1548581573,0,3,我居然看新闻了，还没拖过进度条
西西却南北,5,男,1548579244,1,3,我是以量子状态出现在你身边的，你看不到嘛
带家猴卧室乌迪尔K,5,保密,1548578063,0,3,"第一次:对不起，我是警察😎
第二次:给我次机会，我想做好人😰
第三次:放过我吧，我以后再也不敢了😭

[2233娘_喝水]"
SooJer,6,男,1548576891,0,3,专业到说出来自己都不信
京都岡本君,6,男,1548575825,0,3,希尔:啥?你说啥?怎么回事小老弟?
卢西奥显卡速修,6,保密,1548570815,0,3,这个封面是最骚的
请勿乱扔空瓶,6,保密,1548570802,0,3,卞主任：怎么没有我，不开心😱
翔味蛋挞,6,男,1548570159,0,3,跟看番一样，每星期等着更新[小电视_无语]
艾达琪Adagio,5,男,1548569322,0,3,scp已介入调查
水升昇陞枡焺抍呏,6,男,1548569039,0,3,遇事不决，量子力学
没事看看B站,6,男,1548518121,0,3,听到量子纠缠，我的脑袋立马就方了[小电视_困惑]<简称脑立方>
永远中不了奖的包子,6,保密,1548508807,0,3,世纪佳缘：对用户关键身份做到100%核实认证[小电视_赞]
放洋屁的齿轮,6,男,1548500798,0,3,在1818×bilibili想战术撤退，怕不是灵魂想摔♂跤(;¬_¬)
衡水老白没有肝,5,男,1622999511,0,2,发现新世界[doge]
超世之英杰2016,5,男,1596544676,0,2,我好像发现了宝藏[吃瓜][吃瓜]
精神小伙Zer,5,男,1572524729,0,2,"当事人告诉你豫章书院事件的完整始末！av73836578
因为曝光豫章书院，我朋友被逼到自杀。av73372900
豫章书院还在继续运营！依然是戒网瘾学校！av73677520
【豫章书院】学生自杀甚至都不理 他们到底干过什么？av73550769
类似豫章书院戒网中心发生的真实残酷案例av73951033        暴走大事件av73954223 当事人采访av73784961上av73789407下 大家转发一波吧 谢谢"
K24Z2,6,男,1555850432,0,2,考科目三教练送我们回家撞到一辆违规行驶的老头乐，教练赔了钱还被骂了。
临凰九歌,6,保密,1552739471,0,2,这一句波粒二象性是最骚。[芮小凸小凹_666]
蓝鲸小镇的猫呐,4,女,1551538062,0,2,这个好棒，我发现了什么？！！开心
丧心病狂的咸鱼号,6,男,1550329654,0,2,"记者表示上次聊的满愉快的hhhhh
记者的愉悦.jpg"
西恩dota2,6,男,1550186810,1,2,我要看1919黄金眼[小电视_哭泣]
斯斯斯h,6,保密,1549104242,1,2,在黄金眼上看到小电视以为我眼花了( ᵒ̴̶̷̤໐ᵒ̴̶̷̤ )立马来搜了哈哈哈哈哈哈哈哈哈哈哈好神奇的节目！！！1818黄金眼忠实用户呀我是！！！每次回家都看的！！
39_xx,5,女,1548940113,0,2,那我推一波浙江地方台的钱塘老娘舅吧😂
豐帆,6,保密,1548857934,0,2,好欢乐
喱喱果果,5,女,1548757421,0,2,哈哈哈哈哈
福利队长,6,保密,1548755993,0,2,1818果然没辜负我！奈斯
樱田式杏,2,保密,1548685400,0,2,电视上几点播
薄冰千夏,5,保密,1548678164,1,2,我看青春猪头少年里面提到量子力学也是这种感觉……[2233娘_大笑]
韝蠭袟曑,5,男,1548657420,0,2,1818我的快乐源泉，1818秀啊！😂😂😂
荒木露伴,5,男,1548638546,0,2,孙先生？你又干坏事了？出来挨打
小林优丶,5,保密,1548610038,0,2,去丫吧，那里面全是量子力学女博士
曾照彩云雁归来,4,保密,1548602975,0,2,我一个重庆人，天天看黄金眼。。。
槐月妹妹,5,女,1548601014,2,2,我能说我妈就给我上二年级的妹妹报了那个班吗( ´_ゝ｀)
chanPKLer,6,保密,1548595837,0,2,量子评论
虚位以待只要一块,5,保密,1548593919,0,2,看一次笑一次，我已经看过三遍这个女的了
金九天,5,男,1548593960,0,2,李经理桌上的电脑还要不要了?我能不能全给包下
蛋疼否,6,保密,1548590748,2,2,每次有权健的新闻总有人拿丁香医生的鞋垫说事，不知道是别有用心还是真的蠢(;¬_¬)
粽子O-o,5,保密,1548590221,0,2,最爱的新闻频道和小破站一块简直快乐加倍
希苛莫德,6,男,1548584910,0,2,哈哈哈哈量子纠缠，蚁人看多了吧(〜￣△￣)〜
吾荼图图,5,女,1548583139,0,2,量子力学女博士惹
小白才不是狗呢,4,男,1548581383,0,2,这新闻真好看(｡･ω･｡)ﾉ♡
莉可可莉,5,保密,1548580157,0,2,竟然出番剧了，而且貌似会成为世纪番
东巴拉Dong,5,女,1548577345,0,2,噢我的上帝，看看我无意间发现了什么(ﾟДﾟ≡ﾟдﾟ)!?
粗面条细面条,5,男,1548577315,0,2,我就等那个牛老师了
肉团子的熊爸爸,6,保密,1548574755,4,2,我想维权，这个怎么联系呀。买的rog手机全国第一批货，第二个收货的第一个出现质量问题，结果售后从11月一直到现在一月没解决。
夢狸花,6,保密,1548574559,0,2,校长量子转移了(=・ω・=)
极地丿燃烧,6,男,1548573156,0,2,专业米黑那个吗（￣▽￣）我喜欢
罗翔说兵法,6,保密,1548572764,7,2,不是有个1818黄金眼在B站有账号么？这个阿婆主又是哪个黄金眼(=・ω・=)
飞翔的南瓜,6,保密,1548572008,0,2,量子那个，自己说完都笑了
三日幻月,6,男,1548571788,0,2,你把大伙都给逗乐了
御坂17927号,6,保密,1548571779,0,2,量子那个笑死我了哈哈(ಡωಡ)hiahiahia
懒到懒不行,6,男,1548571449,0,2,量子纠缠教育还真有人信(〜￣△￣)〜
kyo-杏,5,男,1548570654,0,2,我们“郑重承诺”，本视频不含任何防不胜防
GuiShengyi,3,男,1548569860,0,2,跑路改行样样精通，量子力学由我掌控(･∀･)
不想你孤单,4,保密,1548569602,0,2,量子纠缠笑喷我
Niko-Chocolate,6,男,1548569181,0,2,(･∀･)你要把门完全打开 不然是薛定谔的校长 既在 也不在
Rhenz,6,保密,1548568460,0,2,不懂扯到量子就对了 反正现有规则不能解释
账号已注销,0,保密,1548567859,1,2,"知道为什么会有波粒二相性吗？
这是因为时间不是连续的，存在单位最小的单位时间普朗克时间
就好像一条直线(波)被分为无数点，每一个点都是单独的一个粒子
听明白了吗？如果没听明白，我想把你脑子拿出去喂狗。"
無意識の梁月,6,男,1548567447,0,2,战术和灵魂梗永垂不朽
毁了你的三观,5,男,1548567346,0,2,阿b什么都干系列
南坡先森,6,保密,1548567430,0,2,最强综艺
夜神月之殇之月未落,6,保密,1548554105,0,2,第一集指路av40964489
Aka小马哥,6,保密,1548527543,0,2,我们年轻人不做火疗(｀・ω・´)
Mr羊驼君,6,保密,1548519138,0,2,既然没有bi主任
鹤顶红顶级品鉴师,6,男,1548514779,0,2,不行了，笑死我了，每个新闻分开看还好，放一起简直就是德云社附体了
西瓜连者,6,男,1548513613,2,2,光的波粒二象性那期有av号码，想看[小电视_笑]
关无关,6,男,1548508063,0,2,我们年轻人不做的.jpg
AiceHuajill,6,男,1548507548,0,2,md权贱的我做了我的第一个鬼畜，结果没过审.......
一条香辣鱼哇,5,女,1548507394,1,2,不做火疗做美容哈哈哈哈
半透明的葱,6,保密,1548507104,0,2,这里的人有钱哈哈哈
晏几道弯,6,保密,1548506507,0,2,卞主任想要拥有姓名
公婆的键盘真腊鸡,4,男,1548505425,0,2,"大型年度真实鞭尸总结
话说为什么没有玛莎拉蒂我买的啊"
-喧嚣之风-,6,男,1548501916,0,2,孙经理？你找孙经理啊，早说嘛，我还以为找我的呢，我叫孙金立，你们叫俺老孙就行了。[小电视_笑]
英勇快递手,6,男,1548501901,0,2,我要看《小吴大战老吴之现代都市爱情剧》！！！
就是星空呐,6,男,1548501188,0,2,我最爱看的就是记者的各种灵魂拷问(｡･ω･｡)
JFSN,5,保密,1548502065,0,2,😂你知道你给我带来了多少快乐吗？
铁甲小熙,6,女,1548501920,0,2,这个教授能对自己说过的话负责吗？（逃
福尔康睡大觉,5,保密,1548500951,0,2,刚在看电视嘻嘻嘻嘻！！！(=・ω・=)
三磷酸吡啶核苷酸,6,男,1548500950,3,2,"波粒二象性（wave-particle duality）指的是所有的粒子或量子不仅可以部分地以粒子的术语来描述，也可以部分地用波的术语来描述。这意味着经典的有关“粒子”与“波”的概念失去了完全描述量子范围内的物理行为的能力。爱因斯坦这样描述这一现象：“好像有时我们必须用一套理论，有时候又必须用另一套理论来描述（这些粒子的行为），有时候又必须两者都用。我们遇到了一类新的困难，这种困难迫使我们要借助两种互相矛盾的的观点来描述现实，两种观点单独是无法完全解释光的现象的，但是合在一起便可以。” [1]波粒二象性是微观粒子的基本属性之一。1905年，爱因斯坦提出了光电效应的光量子解释，人们开始意识到光波同时具有波和粒子的双重性质。1924年，德布罗意提出“物质波”假说，认为和光一样，一切物质都具有波粒二象性。根据这一假说，电子也会具有干涉和衍射等波动现象，这被后来的电子衍射试验所证实。

2015年瑞士洛桑联邦理工学院科学家成功拍摄出光同时表现波粒二象性的照片。"
_针不戳_-,6,男,1548500807,0,2,哈哈哈哈，可爱的1818，爱你❤
更加让,6,男,1548574418,0,3,量子脱身术和绝不脱身术的脱身术，学到了
林北不是你北啦,5,保密,1638096107,0,1,说实话，我点进来前没觉得这个系列这么好玩
一个爱看剧的小可爱,5,保密,1637816620,1,1,@萌音排面 你看这个，真的好好笑
柠檬水pamela,4,保密,1636287797,0,1,@1818黄金眼
StreamID蟹老板,5,男,1634049893,0,1,"好家伙
三体人
降维打击[doge]"
电车痴痴汉,4,保密,1610415475,0,1,战术回咒：领域展开
安林奈,5,男,1598007320,0,1,吧你第2季给我交了[doge]
Jennie姐姐,3,保密,1580369940,0,1,哈哈哈哈哈被关在家的快乐源泉！
罗饱饱宁,5,保密,1576256118,0,1,从此以后就不知不觉爱上看新闻
東雪蓮OffciaI,6,女,1572532386,1,1,封面两只眼睛竖起来多好
我就是丶短发控,5,男,1572497737,0,1,厉害啊，话说要怎么联系黄金眼的记者呢
-Alven,5,保密,1572489439,0,1,波粒二象性？？？？
紫霄三千客,6,保密,1572419678,0,1,遇事不决，量子力学。
TaxQuu,6,女,1572400813,0,1,md这封面的嘴让我想起1。0。4。9。2[2233娘_汗]
牙君ouo,6,男,1572397910,0,1,我感觉你们浙江是个魔幻综艺城[蛆音娘_吃瓜群众]什么奇葩搞笑灵异视频都可以在1818黄金眼看得到
路过的路人某某人,5,保密,1572375106,0,1,薛定谔：mmp
路过的路人某某人,5,保密,1572375089,0,1,"普朗克：wcnmb,mdzz"
禧嘻喜囍N,5,男,1572349893,1,1,话说这种事国家不管的吗？
林谷啦Latina,5,保密,1572345461,0,1,教授正在前面讲量子力学，我不认真听课，在这里看量子阅读……
东隅月人,5,男,1572343969,0,1,好好孝，哈哈哈哈哈哈哈哈哈哈哈哈哈
画中完美的蓝色,5,男,1572343905,0,1,三连转发交易
Baroque63,6,男,1562478140,0,1,孙哥，安排上了
Nick_24,5,男,1560171601,0,1,我才知道有连载
牢笼君,6,保密,1559371222,0,1,淋校长？？量子力学惹？？
重生之我是乐迪,6,男,1557841399,0,1,法律不保护愚蠢！！
放羊的周小游,5,男,1557752824,0,1,量子纠缠，有没有量子茫然[滑稽]
妹人爱的豆角,5,保密,1557186157,0,1,记者真给劲嗷
太沙基无原理,5,男,1557158686,6,1,没啥意思，有些事笑一笑就过去了，有些新闻应该引导青年关注后续而不只是一个笑谈!
唐叔的茶房,6,男,1556884335,0,1,好有趣哈哈哈
一大碗东北老酸奶,5,保密,1556448068,0,1,量子纠缠?波粒二象性?给我整笑了
请叫我早上好呀,6,保密,1554737595,0,1,佩佩！
好事做尽捏,6,保密,1554099881,0,1,嘿嘿嘿[画风突变]
soul藤和艾莉,6,男,1552831137,0,1,哈哈哈哈😂在国外笑出猪叫
老借壳,5,男,1552810187,0,1,打破一千评论
xisalan,5,保密,1552800841,0,1,皮皮秀
花京院典明批评,6,女,1552483393,0,1,月亮那个真的好好笑啊哈哈哈哈哈哈哈[2233娘_大笑][2233娘_大笑][2233娘_大笑]
3331642,5,保密,1552247673,0,1,新闻比较枯燥，比如央视新闻。1818黄金眼，重新定义了什么是新闻。。。
喝酒会吐彩虹,5,保密,1552139800,0,1,笑死窝了
玛菠萝昔,6,女,1551890008,0,1,灵魂拷问笑场的小哥莫名觉得声线可爱
Shirakaze,6,保密,1551537859,0,1,不做火疗做火化[小电视_笑]
向前s,6,男,1550998047,1,1,权健那个我有个同事就沉进去了，说啥给他他都不听，一天就在那吹火疗养生
巨蟹爱喝卡布奇诺,5,女,1550598727,0,1,哈哈哈哈哈  大半夜看这个笑死了
最强兔子,6,男,1550588429,0,1,哈哈哈。我可是找到 宝贝了。笑死我了。
瞎子瞎子看不见,6,男,1550391312,0,1,蒙眼辨色识字？？？盲人都阔以知道颜色了啊
六月廿肆,5,保密,1550364874,0,1,孙经理啊，喂孙经理
Rayzilion,5,保密,1550330396,0,1,做黄金眼的记者要多能拉得下脸(⌒▽⌒)
-年轻的樵夫哟-,6,保密,1550147592,0,1,做火锅哈哈哈哈哈哈哈
沙琪好好吃,5,保密,1550057493,0,1,我们年轻人。。哈哈哈哈哈哈哈哈哈
今天菜狗在努力吗,6,保密,1549715191,0,1,我见证了一个最强综艺的诞生
筝筝ya,5,女,1549103823,0,1,来了老弟！
悦正绫,6,保密,1549057329,0,1,承包我一年的笑点和番剧[小电视_笑]
翠头狐狸精,6,保密,1548962089,0,1,感觉官方语气好委屈，2333333333
给你五毛不用找了,6,保密,1548889187,0,1,每个地方台都应该有一个黄金眼的节目！！！
快乐的TAT,6,男,1548859079,0,1,泡面番
小唐QAQ,6,保密,1548776570,0,1,二月霸权，黄金眼up
liokoko,6,女,1548774071,0,1,莫名好看2333
波涛莫乃,6,男,1548770368,0,1,只想说这个周更节目，每集的时长有点短，有些不过瘾，看时：哈哈嗝，咋没了
沸腾の冰块,5,男,1548765560,0,1,赞，等更
樱甜奶贤,4,女,1548760300,0,1,hhhhhhh笑死我了
贪睡小熊吃屁,5,男,1548754161,2,1,这是个………综艺？
sixkywakhd,4,保密,1548753548,0,1,要不要看呢……害怕.jpg
2020年春节放假45天,4,男,1548751711,1,1,开花是什么意思？
鸣大钟一次,6,女,1548748502,0,1,确实好看，节目组用心了~
如你听我唱,5,保密,1548748353,0,1,因为这个很专业，笑cry
月下东白,6,保密,1548691356,0,1,哈哈哈哈哈哈哈最后的助理也心很大嘛
Wild_Matteo,5,男,1548672922,0,1,作为一个浙江人，小时候就看，但是这几天被1818彻底圈粉了
bili_130719,5,保密,1548670559,0,1,看封面小电视也被采访了。估计要破产了。
枫泠_Octane,6,保密,1548659049,0,1,薛定谔的校长
淚水淚,5,保密,1548658916,0,1,遇事不决，量子力学
bili_73693594,6,男,1548657469,0,1,我是来看量子力学的
张牧穹,3,保密,1548651273,0,1,根据光的波粒二象性，你在看见校长在的一瞬间，他不见了，在转过头的一瞬间，他又出现了
原神代肝-榴恋Ll,5,女,1548651677,0,1,专门百度了一下脑智慧。
洛丹伦的回响,6,保密,1548648547,0,1,你这个魔鬼，我爱上了这个节目
小呗LTY,6,男,1548646744,0,1,我们年轻人？？？hhhhh
月永地瓜,5,保密,1548637998,0,1,xswl
莫得灵魂的99,6,男,1548633645,5,1,从小就爱看范大姐小强热线
零啾啾,5,保密,1548613310,0,1,看封面标题以为是幼教纠正孩子“zhi chi shi”
